Deposit type,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
IOA,9019.642857142857,59.94,757.4,5.973,299.5,35.64,27.13,0.283,0.0,36.82,1757.0,25.25
IOA,18930.0,60.37,3.169,4.505,240.4,34.97,0.035,0.038,0.0,0.06,0.797,0.593
IOA,18300.0,60.66,12.62,6.412,815.7,68.47,6.262,0.083,0.0,87.83,0.592,0.489
IOA,4342.6151692514495,61.38,3.534,2.992,213.8,162.1,0.0,0.161,0.0,9.896,0.015,0.0
IOA,1104.0,65.21,3.366,2.301,46.72,34.74,0.0,0.0,0.0,8.016,0.066,0.051
IOA,14040.0,65.58,112.0,6.628,263.8,45.38,0.291,0.082,0.0,2.102,440.4,0.568
IOA,15000.0,68.17,3.196,5.606,77.08,31.66,0.028,0.03,0.0,0.086,2.162,0.522
IOA,18050.0,68.85,34.64,2.215,543.6,51.6,17.15,0.0,0.0,8.938,0.296,2.437
IOA,2141.0,68.93,2239.0,12.82,489.3,40.28,7.273,0.294,0.0,35.0,37.99,8.02
IOA,11020.0,69.26,282.4,2.856,1423.0,30.1,1.235,0.032,0.0,1.767,4.96,4.132
IOA,14823.47169296807,70.88243885617912,90.2727142857143,0.637903535202598,352.8097162883604,35.54644674134125,0.0113,0.03585,0.1227,0.006866831438661463,0.0194,0.04975879864625527
IOA,10620.0,91.33,3.533,3.73,1814.0,38.7,0.088,0.028,0.0,11.07,1.005,0.726
IOA,10451.361299461421,92.46,15.32,3.4,371.7,48.62,0.0,0.0,0.0,1.556,0.015,0.405
IOA,8775.425914617734,92.98,749.6,15.49,107.5,61.11,0.113,0.334,0.0,0.138,0.508,1.683
IOA,233.1,93.39,8.649,5.909,177.8,54.02,0.086,14.55,0.0,18.65,28.3,3.411
IOA,9998.47550598988,93.66,2.652,3.355,520.0,47.23,0.0,0.034,0.0,17.76,0.074,0.364
IOA,14420.0,94.83,6.199,29.71,255.1,21.17,0.071,0.152,0.0,0.042,1.609,2.01
IOA,7574.0,95.37,17.73,4.143,3136.0,33.33,12.15,0.552,0.0,197.6,57.89,11.69
IOA,14060.0,103.2,1594.0,28.8,7447.0,65.49,232.5,1.049,0.0,1.32,9.87,21.78
IOA,11800.629251039,104.4560271794103,90.27271428571429,0.6400718186070383,351.8238568201435,31.87154707818548,0.01407872813421648,0.02925,0.5918931743852308,0.0107,0.02545,0.0473785212868171
IOA,11400.0,108.4,2314.0,12.59,2015.0,46.64,19.06,0.856,0.0,0.389,65.6,36.38
IOA,7471.0,113.0,2918.0393,6.14,217.7443,20.0,5.8093,4.7316,5.0962,0.01427647142666259,15.1883,8.4593
IOA,9914.557142857142,113.7,22.05,8.143,76.3,61.11,4.447,0.425,0.0,0.053,71.05,13.63
IOA,19280.0,123.8,2.827,4.08,113.2,63.67,0.0,0.064,0.0,2.74,0.015,0.313
