Deposit type,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
IOCG,957,441,0.2998,0.582,67.6329,7,0.01075,0.0211,0.09225,,0.01835,0.0086
IOCG,51.91,447.4,41.15,2.965,30.1,19.31,0.076,0.075,0,0.127,2.526,0.178
IOCG,16930,467.2,676.6,7.228,6851,48.62,100.8,0.635,0,1.931,10.4,14.8
IOCG,6400,490,7,3.2,bdl,49.8667443,0.036,0.015,0.22135,0.046,13,0.32
IOCG,,148.6,27.56,3.337,53.19,64.42,0.035,0,0,0.226,0.177,0.584
IOCG,10434.4821,155.3236597,,3.951173472,456.561114,48.43813728,1.287446958,0.094915485,0.451907364,0.019281658,6.16135404,0.663953307
IOCG,455.5,162.5,11.65,6.863,230.1,56.14,0.206,11.6,0,2.707,20.21,4.451
IOCG,12403,167,0.1073,0.33815,230.1945,11,0.0129,0.01505,0.09995,,0.02775,0.0124
IOCG,4846,178,0.10295,0.25875,86.7711,5,0.0258,0.0336,0.074,,0.0228,0.0064
IOCG,12570,186.2,89.43,32.48,5361,52.79,0.041,0.619,0,7.356,1.641,3.357
IOCG,19570,196.3,84.97,18.09,8421,40.52,15.37,2.578,0,4.118,6.974,7.778
IOCG,1600,200,298.58,3.8,1.1,21.10259929,0.029,bdl,7.795798829,0.024,1.7,0.36
IOCG,2993,236,2197.4834,0.4463,107.8652,13,3.4477,1.433,0.3433,,5.0782,0.9675
IOCG,1600,250,30.03,1.8,1.8,76.20723612,0.44,0.97,0.118734315,0.22,59,0.31
IOCG,640,250,29.91,3,2.2,72.74977817,0.31,0.11,0.34545,0.52,30,0.15
IOCG,1100,260,617.37,3.6,240,14.35084646,0.05,0.07,0.1732,0.39,3.3,4.1
IOCG,189,261.1,1.736,2.552,38.24,11.15,0.188,0.107,0,11.84,0.462,1.471
IOCG,137,263.1,16.43,9.055,104.3,56.81,0.279,33.88,0,231.9,54.3,12.25
IOCG,430,280,12.47,1.5,1.6,73.59145013,0.047,bdl,2.973737206,0.21,0.21,0.0062
IOCG,5552,305.4,5.786,5.562,76.07,26.99,0.661,1.924,0,0.267,1.978,5.986
